# %ECSV 0.9
# ---
# datatype:
# - {name: 'Det #', datatype: int32}
# - {name: Grid Label, datatype: string}
# - {name: Slit Width, unit: mm, datatype: float64}
# - {name: Bridge Width, unit: mm, datatype: float64}
# - {name: Phase Sense, datatype: int32}
# - {name: Front Pitch, unit: mm, datatype: float64}
# - {name: Front Orient, unit: deg, datatype: float64}
# - {name: Rear Pitch, unit: mm, datatype: float64}
# - {name: Rear Orient, unit: deg, datatype: float64}
# - {name: Bridge Pitch, unit: mm, datatype: float64}
# - {name: Bridge Orient, unit: deg, datatype: float64}
# - {name: SC Xcen, unit: mm, datatype: float64}
# - {name: SC Ycen, unit: mm, datatype: float64}
# - {name: Front Xsize, unit: mm, datatype: float64}
# - {name: Front Ysize, unit: mm, datatype: float64}
# - {name: Rear Xsize, unit: mm, datatype: float64}
# - {name: Rear Ysize, unit: mm, datatype: float64}
# - {name: Detect Xsize, unit: mm, datatype: float64}
# - {name: Detect Ysize, unit: mm, datatype: float64}
# - {name: L Pixel Xsize, unit: mm, datatype: float64}
# - {name: L Pixel Ysize, unit: mm, datatype: float64}
# - {name: S Pixel Xsize, unit: mm, datatype: float64}
# - {name: S Pixel Ysize, unit: mm, datatype: float64}
# schema: astropy-2.0
"Det #" "Grid Label" "Slit Width" "Bridge Width" "Phase Sense" "Front Pitch" "Front Orient" "Rear Pitch" "Rear Orient" "Bridge Pitch" "Bridge Orient" "SC Xcen" "SC Ycen" "Front Xsize" "Front Ysize" "Rear Xsize" "Rear Ysize" "Detect Xsize" "Detect Ysize" "L Pixel Xsize" "L Pixel Ysize" "S Pixel Xsize" "S Pixel Ysize"
11 1a 0.022 0.05 1 0.037929 150.062 0.038071 149.938 1.1 60.0 -12.5 73.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
12 2a 0.03 0.05 -1 0.054408 129.864 0.054192 130.135 1.18 40.0 -12.5 50.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
13 1b 0.022 0.05 1 0.038 90.124 0.038 89.876 1.1 0.0 -12.5 27.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
14 9b 0.336 0.0 -1 0.674193 107.937 0.656988 112.01 0.0 0.0 -12.5 -27.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
15 6a 0.117 0.05 1 0.229395 50.572 0.225614 49.437 1.97 140.0 -12.5 -50.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
16 9a 0.336 0.0 1 0.641967 170.363 0.691656 169.609 0.0 0.0 -12.5 -73.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
17 2c 0.03 0.05 -1 0.054136 9.969 0.054465 10.031 1.13 100.0 12.5 73.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
18 1c 0.022 0.05 -1 0.037929 29.938 0.038071 30.062 1.1 120.0 12.5 50.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
19 2b 0.03 0.05 1 0.054357 70.166 0.054243 69.834 1.05 160.0 12.5 27.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
20 10b 0.479 0.0 -1 0.951208 86.902 0.951208 93.098 0.0 0.0 12.5 -27.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
21 8a 0.236 0.05 -1 0.453678 9.744 0.477944 10.27 3.02 100.0 12.5 -50.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
22 10c 0.479 0.0 -1 0.909644 28.519 0.999045 31.626 0.0 0.0 12.5 -73.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
23 4c 0.059 0.05 1 0.110594 150.18 0.111811 149.818 1.69 60.0 37.5 59.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
24 7a 0.166 0.05 -1 0.320259 29.479 0.33068 30.538 2.66 120.0 37.5 36.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
25 4a 0.059 0.05 -1 0.111198 89.638 0.111198 90.362 1.1 0.0 37.5 13.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
26 8b 0.236 0.05 1 0.457628 131.141 0.47345 128.819 2.95 40.0 37.5 -13.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
27 6b 0.117 0.05 -1 0.230433 169.87 0.22464 170.127 2.28 80.0 37.5 -36.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
28 7c 0.166 0.05 1 0.325344 91.059 0.325344 88.941 2.2 0.0 37.5 -59.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
29 3b 0.042 0.05 1 0.077921 50.194 0.07748 49.807 1.18 140.0 62.5 36.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
30 5b 0.083 0.05 1 0.160427 10.091 0.157598 9.911 1.81 100.0 62.5 13.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
31 6c 0.117 0.05 -1 0.228493 109.301 0.226482 110.693 2.07 20.0 62.5 -13.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
32 9c 0.336 0.0 1 0.682197 51.702 0.64983 48.379 0.0 0.0 62.5 -36.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
