#IMF [M/H]    Age      U      B      V      R      I      J      H      K     U-V    B-V    V-R    V-I    V-J    V-H     V-K      (M/L)U   (M/L)B   (M/L)V   (M/L)R   (M/L)I   (M/L)J   (M/L)H   (M/L)K  F439W  F555W  F675W F814W 439-555 555-675 555-814
#=========================================================================================================================================================================================================================================================
1.30 -2.3152  0.3548   4.726  4.837  4.464  4.121  3.730  3.130  2.570  2.444  0.262  0.373  0.344  0.734  1.335  1.895  2.020    0.123    0.158    0.199    0.202    0.188    0.161    0.129    0.122  4.863  4.476  4.053  3.759  0.387  0.423  0.716
1.30 -2.3152  0.3981   4.830  4.920  4.548  4.207  3.820  3.222  2.664  2.539  0.282  0.372  0.341  0.728  1.326  1.884  2.009    0.135    0.170    0.213    0.218    0.203    0.175    0.140    0.132  4.945  4.559  4.140  3.849  0.386  0.419  0.710
1.30 -2.3152  0.4467   4.956  5.046  4.694  4.369  3.997  3.416  2.869  2.747  0.262  0.352  0.324  0.697  1.278  1.824  1.947    0.151    0.190    0.243    0.251    0.237    0.208    0.169    0.159  5.069  4.705  4.305  4.026  0.364  0.400  0.680
1.30 -2.3152  0.5012   5.035  5.113  4.758  4.435  4.065  3.489  2.949  2.827  0.277  0.355  0.323  0.693  1.269  1.809  1.931    0.161    0.201    0.257    0.266    0.252    0.221    0.181    0.170  5.136  4.770  4.371  4.094  0.366  0.399  0.676
1.30 -2.3152  0.5623   5.114  5.185  4.825  4.502  4.133  3.562  3.027  2.907  0.289  0.360  0.323  0.691  1.263  1.798  1.918    0.173    0.213    0.271    0.281    0.267    0.236    0.193    0.182  5.207  4.837  4.438  4.163  0.370  0.399  0.674
1.30 -2.3152  0.6310   5.197  5.262  4.896  4.572  4.202  3.636  3.105  2.987  0.301  0.367  0.324  0.693  1.260  1.790  1.909    0.185    0.228    0.288    0.298    0.283    0.251    0.206    0.195  5.285  4.908  4.507  4.232  0.376  0.401  0.677
1.30 -2.3152  0.7079   5.296  5.356  4.983  4.656  4.285  3.721  3.192  3.074  0.313  0.374  0.327  0.697  1.262  1.791  1.909    0.202    0.247    0.311    0.321    0.304    0.270    0.222    0.211  5.379  4.996  4.592  4.315  0.383  0.404  0.681
1.30 -2.3152  0.7943   5.414  5.478  5.114  4.796  4.434  3.882  3.364  3.248  0.301  0.364  0.318  0.680  1.231  1.750  1.866    0.224    0.275    0.349    0.363    0.346    0.312    0.259    0.246  5.499  5.127  4.733  4.464  0.372  0.394  0.664
1.30 -2.3152  0.8913   5.500  5.558  5.190  4.872  4.510  3.965  3.450  3.335  0.310  0.368  0.318  0.679  1.225  1.740  1.855    0.242    0.295    0.373    0.388    0.370    0.335    0.279    0.265  5.579  5.204  4.810  4.541  0.375  0.395  0.663
1.30 -2.3152  1.0000   5.572  5.625  5.249  4.930  4.569  4.031  3.523  3.411  0.323  0.377  0.318  0.679  1.217  1.725  1.838    0.257    0.313    0.391    0.407    0.389    0.354    0.298    0.283  5.646  5.263  4.867  4.600  0.383  0.396  0.664
1.30 -2.3152  1.1220   5.659  5.688  5.258  4.914  4.534  3.976  3.463  3.350  0.401  0.430  0.344  0.725  1.283  1.796  1.908    0.277    0.329    0.393    0.399    0.374    0.335    0.280    0.266  5.712  5.275  4.846  4.565  0.438  0.428  0.709
1.30 -2.3152  1.2589   5.779  5.758  5.230  4.833  4.413  3.807  3.270  3.154  0.548  0.527  0.397  0.818  1.424  1.960  2.076    0.308    0.349    0.381    0.368    0.333    0.285    0.233    0.221  5.790  5.249  4.757  4.447  0.541  0.492  0.802
1.30 -2.3152  1.4125   6.028  6.033  5.564  5.203  4.811  4.239  3.732  3.624  0.463  0.468  0.362  0.753  1.325  1.832  1.940    0.385    0.447    0.515    0.514    0.478    0.422    0.355    0.339  6.059  5.583  5.133  4.845  0.477  0.450  0.737
1.30 -2.3152  1.5849   6.100  6.099  5.621  5.255  4.862  4.289  3.787  3.681  0.480  0.479  0.365  0.759  1.331  1.833  1.939    0.409    0.473    0.540    0.538    0.498    0.440    0.372    0.356  6.127  5.639  5.185  4.896  0.487  0.454  0.743
1.30 -2.3152  1.7783   6.222  6.219  5.726  5.355  4.957  4.382  3.882  3.778  0.495  0.493  0.371  0.769  1.345  1.844  1.949    0.456    0.526    0.592    0.587    0.541    0.477    0.404    0.387  6.247  5.746  5.285  4.992  0.501  0.461  0.754
1.30 -2.3152  1.9953   6.362  6.362  5.871  5.503  5.107  4.536  4.042  3.939  0.491  0.491  0.368  0.764  1.335  1.829  1.932    0.516    0.598    0.674    0.669    0.619    0.547    0.466    0.447  6.390  5.891  5.433  5.142  0.499  0.458  0.749
1.30 -2.3152  2.2387   6.471  6.474  5.977  5.607  5.210  4.640  4.148  4.046  0.494  0.498  0.370  0.767  1.336  1.828  1.930    0.568    0.660    0.739    0.733    0.677    0.600    0.511    0.491  6.502  5.997  5.537  5.246  0.505  0.460  0.751
1.30 -2.3152  2.5119   6.580  6.596  6.107  5.744  5.353  4.794  4.311  4.211  0.473  0.489  0.363  0.754  1.313  1.796  1.896    0.625    0.735    0.830    0.828    0.769    0.688    0.591    0.569  6.623  6.128  5.676  5.390  0.495  0.452  0.738
1.30 -2.3152  2.8184   6.683  6.707  6.209  5.842  5.449  4.893  4.412  4.313  0.474  0.498  0.367  0.760  1.316  1.797  1.896    0.686    0.812    0.909    0.904    0.838    0.751    0.647    0.623  6.735  6.231  5.774  5.487  0.503  0.457  0.744
1.30 -2.3152  3.1623   6.773  6.807  6.304  5.935  5.542  4.989  4.512  4.415  0.469  0.503  0.369  0.762  1.314  1.791  1.888    0.742    0.887    0.988    0.981    0.910    0.818    0.707    0.682  6.835  6.326  5.867  5.581  0.509  0.459  0.746
1.30 -2.3152  3.5481   6.866  6.909  6.396  6.023  5.628  5.077  4.603  4.507  0.470  0.514  0.373  0.768  1.319  1.793  1.889    0.805    0.970    1.071    1.060    0.981    0.883    0.765    0.739  6.938  6.419  5.955  5.667  0.519  0.464  0.752
1.30 -2.3152  3.9811   6.976  7.027  6.500  6.123  5.724  5.173  4.700  4.605  0.475  0.527  0.378  0.776  1.327  1.800  1.895    0.888    1.077    1.175    1.157    1.068    0.961    0.834    0.806  7.056  6.525  6.054  5.765  0.532  0.470  0.760
1.30 -2.3152  4.4668   7.088  7.148  6.611  6.230  5.829  5.280  4.809  4.714  0.477  0.536  0.382  0.783  1.331  1.803  1.897    0.981    1.200    1.297    1.273    1.171    1.057    0.919    0.888  7.178  6.637  6.162  5.871  0.541  0.475  0.766
1.30 -2.3152  5.0119   7.199  7.265  6.721  6.335  5.932  5.388  4.918  4.825  0.478  0.544  0.386  0.789  1.333  1.802  1.896    1.082    1.332    1.429    1.397    1.284    1.163    1.013    0.980  7.296  6.747  6.267  5.975  0.548  0.480  0.772
1.30 -2.3152  5.6234   7.296  7.368  6.815  6.425  6.018  5.477  5.009  4.917  0.481  0.553  0.391  0.797  1.338  1.806  1.898    1.179    1.460    1.554    1.512    1.385    1.258    1.097    1.063  7.400  6.843  6.357  6.063  0.557  0.486  0.780
1.30 -2.3152  6.3096   7.413  7.489  6.926  6.531  6.121  5.582  5.115  5.023  0.486  0.563  0.396  0.806  1.345  1.812  1.903    1.310    1.627    1.716    1.662    1.517    1.381    1.205    1.168  7.522  6.955  6.463  6.167  0.566  0.492  0.788
1.30 -2.3152  7.0795   7.518  7.596  7.026  6.627  6.214  5.678  5.212  5.121  0.491  0.570  0.400  0.812  1.349  1.815  1.905    1.438    1.790    1.876    1.810    1.649    1.505    1.314    1.275  7.629  7.056  6.559  6.262  0.573  0.497  0.794
1.30 -2.3152  7.9433   7.624  7.704  7.125  6.720  6.305  5.769  5.303  5.213  0.500  0.579  0.404  0.820  1.356  1.821  1.912    1.581    1.970    2.048    1.967    1.787    1.631    1.425    1.383  7.737  7.155  6.654  6.354  0.582  0.502  0.801
1.30 -2.3152  8.9125   7.733  7.816  7.231  6.824  6.408  5.873  5.408  5.319  0.502  0.585  0.407  0.823  1.358  1.823  1.912    1.743    2.178    2.252    2.158    1.959    1.790    1.565    1.520  7.851  7.263  6.758  6.459  0.587  0.505  0.804
1.30 -2.3152 10.0000   7.859  7.942  7.356  6.948  6.533  6.002  5.540  5.451  0.503  0.586  0.408  0.823  1.354  1.816  1.905    1.952    2.440    2.519    2.412    2.193    2.011    1.762    1.713  7.977  7.389  6.884  6.587  0.588  0.505  0.802
1.30 -2.3152 11.2202   7.926  8.002  7.407  6.996  6.580  6.046  5.581  5.491  0.518  0.594  0.412  0.828  1.362  1.827  1.916    2.071    2.571    2.635    2.515    2.282    2.087    1.825    1.773  8.038  7.441  6.933  6.634  0.596  0.509  0.807
1.30 -2.3152 12.5893   8.014  8.088  7.497  7.086  6.670  6.138  5.673  5.584  0.517  0.590  0.411  0.828  1.359  1.824  1.913    2.233    2.766    2.845    2.716    2.465    2.260    1.976    1.920  8.124  7.532  7.024  6.726  0.592  0.508  0.806
1.30 -2.3152 14.1254   8.159  8.233  7.645  7.234  6.818  6.290  5.827  5.738  0.514  0.587  0.412  0.827  1.355  1.818  1.907    2.532    3.136    3.235    3.088    2.805    2.578    2.258    2.196  8.270  7.682  7.175  6.879  0.588  0.507  0.803
1.30 -2.3152 15.8489   8.256  8.323  7.737  7.324  6.908  6.379  5.914  5.826  0.519  0.586  0.413  0.828  1.358  1.822  1.910    2.746    3.381    3.491    3.329    3.023    2.776    2.428    2.361  8.361  7.775  7.268  6.971  0.586  0.507  0.803
1.30 -2.3152 17.7828   8.324  8.389  7.807  7.392  6.975  6.443  5.975  5.886  0.517  0.583  0.414  0.831  1.364  1.831  1.920    2.896    3.561    3.688    3.512    3.185    2.916    2.544    2.472  8.428  7.846  7.338  7.041  0.582  0.508  0.805
1.30 -1.7129  0.0631   3.405  3.889  3.931  3.895  3.846  3.723  3.531  3.496 -0.527 -0.042  0.036  0.086  0.208  0.401  0.436    0.040    0.071    0.132    0.178    0.226    0.302    0.339    0.346  3.894  3.929  3.887  3.852 -0.035  0.042  0.078
1.30 -1.7129  0.0708   3.506  3.975  4.010  3.969  3.914  3.783  3.585  3.549 -0.504 -0.035  0.040  0.095  0.227  0.425  0.461    0.043    0.077    0.141    0.189    0.239    0.317    0.354    0.362  3.980  4.008  3.961  3.921 -0.029  0.048  0.087
1.30 -1.7129  0.0794   3.598  4.045  4.071  4.025  3.962  3.821  3.616  3.580 -0.473 -0.025  0.046  0.108  0.250  0.454  0.491    0.047    0.082    0.148    0.198    0.249    0.327    0.364    0.371  4.051  4.070  4.015  3.970 -0.019  0.055  0.100
1.30 -1.7129  0.0891   3.684  4.112  4.127  4.074  4.002  3.846  3.629  3.591 -0.443 -0.015  0.053  0.125  0.281  0.498  0.536    0.050    0.087    0.155    0.206    0.257    0.333    0.366    0.373  4.118  4.127  4.062  4.010 -0.009  0.064  0.116
1.30 -1.7129  0.1000   3.783  4.192  4.195  4.135  4.054  3.883  3.656  3.615 -0.413 -0.004  0.060  0.142  0.313  0.540  0.580    0.055    0.093    0.165    0.217    0.269    0.343    0.373    0.380  4.197  4.196  4.122  4.063  0.002  0.074  0.133
1.30 -1.7129  0.1122   3.830  4.102  3.822  3.518  3.164  2.586  2.022  1.906  0.009  0.280  0.303  0.657  1.235  1.800  1.916    0.057    0.085    0.116    0.123    0.118    0.104    0.083    0.078  4.123  3.830  3.457  3.191  0.293  0.373  0.639
1.30 -1.7129  0.1259   3.935  4.174  3.864  3.543  3.172  2.573  1.995  1.876  0.071  0.309  0.322  0.693  1.292  1.869  1.989    0.063    0.090    0.120    0.125    0.118    0.102    0.080    0.076  4.197  3.873  3.478  3.199  0.324  0.395  0.674
1.30 -1.7129  0.1413   4.033  4.245  3.922  3.593  3.214  2.605  2.020  1.898  0.111  0.323  0.329  0.708  1.317  1.902  2.024    0.068    0.096    0.126    0.130    0.122    0.104    0.082    0.077  4.269  3.931  3.526  3.242  0.338  0.405  0.689
1.30 -1.7129  0.1585   4.135  4.320  3.975  3.632  3.241  2.615  2.020  1.895  0.160  0.345  0.343  0.734  1.359  1.954  2.080    0.074    0.102    0.132    0.134    0.125    0.105    0.081    0.076  4.345  3.985  3.563  3.270  0.360  0.421  0.715
1.30 -1.7129  0.1778   4.232  4.395  4.037  3.687  3.289  2.653  2.051  1.923  0.194  0.358  0.350  0.748  1.384  1.986  2.114    0.081    0.109    0.139    0.140    0.130    0.108    0.083    0.078  4.421  4.048  3.618  3.319  0.373  0.430  0.729
1.30 -1.7129  0.1995   4.327  4.472  4.098  3.738  3.330  2.680  2.068  1.937  0.229  0.374  0.360  0.768  1.418  2.030  2.160    0.088    0.116    0.146    0.146    0.134    0.110    0.084    0.078  4.498  4.109  3.667  3.360  0.389  0.442  0.749
1.30 -1.7129  0.2239   4.431  4.568  4.194  3.836  3.427  2.775  2.161  2.028  0.237  0.373  0.359  0.767  1.419  2.033  2.166    0.096    0.126    0.159    0.159    0.146    0.119    0.091    0.085  4.593  4.205  3.765  3.458  0.388  0.440  0.748
1.30 -1.7129  0.2512   4.520  4.649  4.282  3.929  3.525  2.877  2.265  2.132  0.238  0.367  0.352  0.756  1.404  2.016  2.149    0.104    0.136    0.171    0.173    0.158    0.130    0.100    0.093  4.673  4.293  3.860  3.556  0.380  0.433  0.737
1.30 -1.7129  0.2818   4.612  4.739  4.383  4.039  3.642  3.001  2.393  2.260  0.230  0.356  0.344  0.741  1.382  1.990  2.123    0.113    0.147    0.187    0.190    0.175    0.145    0.111    0.104  4.763  4.394  3.971  3.672  0.368  0.423  0.722
1.30 -1.7129  0.3162   4.715  4.845  4.504  4.173  3.787  3.162  2.564  2.433  0.212  0.342  0.331  0.717  1.342  1.940  2.071    0.123    0.161    0.208    0.214    0.200    0.168    0.130    0.121  4.867  4.515  4.107  3.817  0.352  0.408  0.698
1.30 -1.7129  0.3548   4.805  4.925  4.575  4.242  3.856  3.233  2.638  2.508  0.230  0.349  0.333  0.719  1.342  1.937  2.067    0.133    0.172    0.221    0.227    0.212    0.178    0.138    0.129  4.947  4.587  4.176  3.887  0.359  0.412  0.701
1.30 -1.7129  0.3981   4.906  5.013  4.654  4.318  3.930  3.308  2.716  2.586  0.252  0.359  0.337  0.724  1.346  1.939  2.069    0.146    0.186    0.237    0.242    0.225    0.190    0.148    0.138  5.036  4.667  4.251  3.961  0.369  0.416  0.706
1.30 -1.7129  0.4467   5.011  5.106  4.741  4.402  4.013  3.392  2.799  2.670  0.270  0.365  0.339  0.728  1.350  1.942  2.071    0.159    0.201    0.255    0.260    0.242    0.204    0.159    0.149  5.129  4.754  4.335  4.044  0.374  0.419  0.710
1.30 -1.7129  0.5012   5.113  5.202  4.841  4.508  4.125  3.517  2.933  2.806  0.272  0.361  0.333  0.716  1.324  1.908  2.035    0.174    0.219    0.278    0.285    0.267    0.228    0.179    0.168  5.224  4.855  4.442  4.156  0.370  0.412  0.698
1.30 -1.7129  0.5623   5.221  5.294  4.923  4.586  4.201  3.594  3.013  2.886  0.298  0.371  0.337  0.722  1.328  1.910  2.037    0.191    0.237    0.298    0.305    0.285    0.244    0.191    0.180  5.316  4.937  4.520  4.233  0.380  0.417  0.704
1.30 -1.7129  0.6310   5.353  5.407  5.016  4.672  4.281  3.670  3.088  2.962  0.337  0.391  0.344  0.734  1.346  1.928  2.054    0.215    0.262    0.323    0.328    0.305    0.260    0.204    0.192  5.430  5.031  4.604  4.313  0.399  0.426  0.717
1.30 -1.7129  0.7079   5.472  5.515  5.117  4.776  4.392  3.790  3.220  3.097  0.355  0.398  0.341  0.726  1.328  1.897  2.020    0.239    0.287    0.353    0.360    0.336    0.289    0.229    0.216  5.538  5.132  4.709  4.424  0.405  0.423  0.709
1.30 -1.7129  0.7943   5.585  5.610  5.196  4.848  4.460  3.856  3.291  3.170  0.388  0.414  0.348  0.736  1.340  1.905  2.026    0.263    0.312    0.378    0.382    0.356    0.305    0.244    0.230  5.634  5.212  4.780  4.493  0.422  0.432  0.719
1.30 -1.7129  0.8913   5.705  5.714  5.286  4.932  4.541  3.935  3.375  3.257  0.418  0.428  0.354  0.745  1.352  1.911  2.030    0.293    0.342    0.409    0.411    0.382    0.327    0.262    0.248  5.739  5.303  4.864  4.574  0.436  0.439  0.729
1.30 -1.7129  1.0000   5.814  5.815  5.376  5.023  4.632  4.029  3.480  3.365  0.437  0.439  0.353  0.745  1.347  1.897  2.011    0.322    0.374    0.442    0.445    0.413    0.355    0.287    0.272  5.840  5.394  4.955  4.665  0.446  0.439  0.728
1.30 -1.7129  1.1220   5.891  5.874  5.398  5.027  4.622  4.006  3.451  3.337  0.493  0.476  0.371  0.776  1.393  1.947  2.062    0.345    0.393    0.449    0.445    0.408    0.346    0.278    0.264  5.901  5.417  4.956  4.657  0.485  0.460  0.760
1.30 -1.7129  1.2589   5.971  5.916  5.383  4.981  4.553  3.910  3.341  3.224  0.588  0.534  0.402  0.830  1.472  2.042  2.159    0.369    0.406    0.440    0.424    0.381    0.315    0.250    0.237  5.948  5.402  4.904  4.588  0.546  0.498  0.814
1.30 -1.7129  1.4125   6.233  6.169  5.667  5.284  4.872  4.250  3.696  3.583  0.566  0.502  0.383  0.795  1.417  1.971  2.084    0.466    0.509    0.568    0.557    0.507    0.428    0.345    0.328  6.199  5.686  5.211  4.908  0.512  0.475  0.778
1.30 -1.7129  1.5849   6.333  6.263  5.748  5.360  4.947  4.325  3.775  3.663  0.585  0.515  0.387  0.801  1.422  1.973  2.085    0.509    0.552    0.609    0.594    0.541    0.456    0.369    0.351  6.293  5.768  5.287  4.984  0.525  0.480  0.784
1.30 -1.7129  1.7783   6.434  6.361  5.827  5.433  5.015  4.393  3.845  3.734  0.606  0.533  0.395  0.812  1.434  1.983  2.094    0.556    0.602    0.652    0.632    0.573    0.483    0.391    0.373  6.392  5.848  5.359  5.052  0.544  0.489  0.796
1.30 -1.7129  1.9953   6.543  6.469  5.924  5.525  5.105  4.487  3.943  3.833  0.620  0.546  0.399  0.818  1.436  1.981  2.090    0.612    0.662    0.710    0.685    0.620    0.525    0.427    0.407  6.501  5.945  5.450  5.143  0.556  0.495  0.802
1.30 -1.7129  2.2387   6.651  6.580  6.026  5.625  5.205  4.589  4.047  3.939  0.625  0.553  0.401  0.821  1.437  1.979  2.088    0.673    0.730    0.777    0.749    0.677    0.574    0.468    0.446  6.612  6.049  5.551  5.244  0.563  0.498  0.805
1.30 -1.7129  2.5119   6.762  6.695  6.142  5.742  5.325  4.715  4.179  4.072  0.620  0.553  0.399  0.817  1.426  1.962  2.069    0.742    0.808    0.860    0.830    0.753    0.642    0.526    0.502  6.727  6.164  5.669  5.364  0.563  0.495  0.800
1.30 -1.7129  2.8184   6.847  6.784  6.232  5.835  5.420  4.815  4.283  4.177  0.614  0.552  0.397  0.813  1.417  1.949  2.055    0.799    0.873    0.931    0.900    0.818    0.701    0.576    0.551  6.816  6.255  5.762  5.459  0.560  0.493  0.796
1.30 -1.7129  3.1623   6.975  6.914  6.353  5.954  5.538  4.938  4.411  4.307  0.622  0.561  0.399  0.815  1.415  1.942  2.046    0.896    0.980    1.036    1.000    0.908    0.782    0.645    0.619  6.946  6.377  5.881  5.578  0.569  0.496  0.798
1.30 -1.7129  3.5481   7.100  7.042  6.470  6.067  5.648  5.052  4.527  4.424  0.629  0.572  0.404  0.822  1.418  1.943  2.046    1.001    1.099    1.150    1.106    1.002    0.865    0.716    0.686  7.075  6.495  5.994  5.690  0.580  0.501  0.805
1.30 -1.7129  3.9811   7.215  7.163  6.583  6.176  5.756  5.165  4.645  4.543  0.632  0.580  0.407  0.827  1.418  1.938  2.040    1.110    1.224    1.271    1.218    1.102    0.957    0.795    0.763  7.197  6.609  6.104  5.799  0.588  0.505  0.810
1.30 -1.7129  4.4668   7.330  7.282  6.696  6.285  5.864  5.278  4.761  4.660  0.634  0.587  0.410  0.831  1.417  1.935  2.035    1.228    1.361    1.405    1.342    1.213    1.058    0.881    0.847  7.317  6.722  6.213  5.908  0.594  0.509  0.814
1.30 -1.7129  5.0119   7.433  7.394  6.801  6.387  5.965  5.384  4.871  4.772  0.633  0.594  0.413  0.836  1.416  1.930  2.029    1.346    1.504    1.542    1.469    1.326    1.162    0.971    0.935  7.430  6.828  6.316  6.010  0.601  0.513  0.818
1.30 -1.7129  5.6234   7.538  7.505  6.900  6.481  6.056  5.476  4.964  4.866  0.638  0.606  0.419  0.844  1.424  1.936  2.034    1.477    1.660    1.684    1.597    1.437    1.260    1.055    1.016  7.542  6.929  6.410  6.102  0.613  0.519  0.827
1.30 -1.7129  6.3096   7.636  7.621  7.006  6.584  6.157  5.579  5.069  4.972  0.630  0.614  0.422  0.849  1.427  1.937  2.034    1.611    1.840    1.851    1.749    1.572    1.380    1.158    1.117  7.658  7.036  6.513  6.205  0.622  0.523  0.831
1.30 -1.7129  7.0795   7.729  7.726  7.103  6.677  6.249  5.672  5.166  5.070  0.627  0.624  0.425  0.853  1.430  1.937  2.033    1.750    2.021    2.016    1.900    1.706    1.500    1.262    1.218  7.765  7.133  6.607  6.298  0.631  0.527  0.835
1.30 -1.7129  7.9433   7.834  7.830  7.197  6.768  6.339  5.762  5.257  5.162  0.637  0.633  0.429  0.859  1.435  1.940  2.035    1.922    2.217    2.192    2.059    1.846    1.623    1.368    1.322  7.870  7.229  6.698  6.389  0.641  0.531  0.840
1.30 -1.7129  8.9125   7.940  7.934  7.293  6.861  6.431  5.855  5.353  5.259  0.647  0.641  0.432  0.863  1.438  1.941  2.035    2.112    2.432    2.388    2.237    2.004    1.763    1.490    1.441  7.975  7.326  6.793  6.483  0.649  0.534  0.843
1.30 -1.7129 10.0000   8.059  8.054  7.410  6.978  6.547  5.975  5.477  5.384  0.649  0.644  0.433  0.863  1.435  1.933  2.026    2.350    2.709    2.653    2.483    2.225    1.964    1.666    1.613  8.096  7.445  6.910  6.602  0.651  0.534  0.843
1.30 -1.7129 11.2202   8.155  8.149  7.499  7.064  6.633  6.062  5.565  5.473  0.656  0.649  0.435  0.866  1.438  1.934  2.026    2.560    2.947    2.871    2.681    2.401    2.121    1.802    1.746  8.191  7.535  6.998  6.690  0.656  0.536  0.845
1.30 -1.7129 12.5893   8.252  8.243  7.590  7.153  6.721  6.151  5.657  5.566  0.662  0.653  0.437  0.868  1.438  1.933  2.024    2.786    3.201    3.107    2.897    2.593    2.294    1.952    1.893  8.286  7.626  7.089  6.780  0.660  0.538  0.846
1.30 -1.7129 14.1254   8.349  8.336  7.688  7.252  6.824  6.259  5.768  5.677  0.661  0.648  0.436  0.865  1.429  1.920  2.012    3.025    3.460    3.375    3.151    2.826    2.513    2.145    2.080  8.379  7.726  7.191  6.885  0.653  0.535  0.841
1.30 -1.7129 15.8489   8.439  8.423  7.777  7.342  6.912  6.350  5.858  5.766  0.662  0.645  0.436  0.865  1.428  1.919  2.011    3.261    3.717    3.635    3.393    3.043    2.710    2.312    2.241  8.466  7.816  7.282  6.976  0.650  0.534  0.840
1.30 -1.7129 17.7828   8.536  8.508  7.875  7.441  7.013  6.452  5.959  5.866  0.661  0.633  0.434  0.862  1.423  1.916  2.009    3.531    3.985    3.939    3.684    3.308    2.949    2.512    2.434  8.552  7.915  7.385  7.080  0.637  0.530  0.835
