row ID,remove_ss,label
3-methyl-134-oxadiazole-2-thione,"[#6,#7,#8,#16]!@-[#7]1[#7,#6]=,:[#6][#8,#16,#7][#6]1!@=S",2
3-methyl-134-oxadiazole-2-thione_2,"[#6,#7,#8,#16]!@-[#7]1[#7,#6]=,:[#6][#16][#6]1!@=[#16,#8,#7,#6]",2
3-methylenepyrrolidine-25-dione,"[#6]!@=[#6]1[#6][#6](=[#8,#16])[#7,#8,#16][#6]1=[#8,#16]",3
3-methylenetetrahydropyran-24-dione,"[#8,#16,#7]=[#6]1[#6]-[#6]-[#8,#16,#7][#6](=[#8,#16,#7])[#6]1!@=[#6,#7,#8,#16]",1
3-trimethyl-lambda5-azanyl_prop-1-yne,[#6][N]([#6])([#6])!@-[#6]!@-C!@#C,1
3-vinylcyclohex-2-en-1-one,"[#6]!@=[#6;D2]!@-[#6]1=,:[#6;D2][#6](=[#8,#16])[#6]-[#6]-[#6]1",3
333-trifluoro-2-trifluoromethyl_prop-1-ene,"[#9,#17,#35,#53]C([#9,#17,#35,#53])([#9,#17,#35,#53])!@-[#6](!@=[#6])!@-C([#9,#17,#35,#53])([#9,#17,#35,#53])[#9,#17,#35,#53]",1
333-trifluoroprop-1-ene,FC(F)(F)!@-[#6;D2]!@=[#6],2
4-13-dithiol-2-ylidene-12-dihydroquinoline-3-thione,"S=[#6]1[#6]-[#7,#8,#16]c2[#6,#7;a][#6,#7;a][#6,#7;a][#6,#7;a]c2[#6]1!@=[#6]1[#16,#8][#6]=,:[#6][#16,#8]1",2
4-3-hydroxy-5-methyl-1H-pyrazol-4-yl-phenyl-methyl-5-methyl-1H-pyrazol-3-ol,"[#6]!@-[#6]1=,:[#7][#7][#6](!@-[#8])=,:[#6]1!@-[#6](!@-[#6]=,:1[#6](!@-[#6])=,:[#7][#7][#6]=,:1!@-[#8])!@-c1ccccc1",2
4-methyleneoxazolidin-2-one,"[#6]!@=[#6]-1[#7][#6](=O)[#8,#16]-[#6]-1",3
45-dihydro-1H-imidazole-2-thiol,"[#16]!@-[#6]1=,:[#7][#6]-[#6]-[#7]1",2
45-dihydrothiazol-2-amine,"[#7,#8,#16]!@-[#6]1=,:[#7][#6]-[#6]-[#16]1",2
45-dihydrothiazole-2-thiol,"[#16]!@-[#6]1=,:[#7][#6]-[#6][#16,#8]1",2
4H-isoxazol-5-one,"O=[#6]1[#6;D2][#6]=,:[#7][#8]1",2
5-bromo-3H-furan-2-one,"[#35,#9,#17,#53]!@-[#6]1=,:[#6][#6][#6](=[#8,#16,#7,#6])[#8,#16,#7]1",2
5-methylenefuran-2-one,"[#6]!@=[#6]1[#6;D2]=,:[#6;D2][#6](=[#8,#16])[#8,#16]1",2
5-methyleneimidazolidine-24-dione,"[#6]!@=[#6]1[#7;D2][#6](=[#8,#16])[#7;D2][#6]1=[#8,#16]",1
5H-thiazol-2-one,"[#8,#16,#7]!@=[#6]1[#7]=,:[#6][#6][#16]1",2
8-thia-hexazatetracyclopentadeca-hexaene,"[#6]1=,:[#6][#6]=,:2[#6]3=,:[#7][#7]=,:[#6][#7]3[#6]3=,:[#7][#7]=,:[#6][#7]3[#6]=,:2[#16,#8,#7]1",1
Two_I,[#6]!@-I.[#6]!@-I,1
acenaphthyleno_12-b_quinoxaline,"[#6,#7;a]1[#6,#7;a][#6,#7;a]c2[#7,#6;a]c3c([#7,#6;a]c2[#6,#7;a]1)c1[#6,#7;a][#6,#7;a][#6,#7;a]c2[#6,#7;a][#6,#7;a][#6,#7;a]c3c12",1
benzimidazolo_21a_phthalazine,"[#6]1=,:[#6][#6]=,:[#6]2[#6](=,:[#6]1)[#7]=,:[#6]1[#6]3=,:[#6][#6]=,:[#6][#6]=,:[#6]3[#6]=,:[#7][#7]21",2
bromoacetylene,"[#35,#9,#17,#53]C#C",2
buta-13-diyne,C!@#C!@-C!@#C,2
cyclohexene,"[#6;D2]1=,:[#6][#6;D2]-[#6;D2]-[#6;D2]-[#6;D2]1",3
cyclopentene,"[#6]1=,:[#6;D2][#6;D2]-[#6;D2]-[#6;D2]1",3
decahydrocyclododeca_b_thiophene,"[#6,#7]=,:1[#16,#8,#7][#6]=,:2-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]=,:2[#6,#7]=,:1",1
dimethylphosphinic_acid,"[#6]!@-P(!@-[#6])(!@-[#8,#16])=[#8,#16]",2
ethylene,[#6;D2]!@=[#6;D1],3
formamide,"[#7,#6,#8,#16]!@-[#6;D2]=[#8,#16]",2
hydrosulfonylmethyl_dioxo-lambda6-sulfane,"[#8,#16]=S(=[#8,#16])[#6]S(=[#8,#16])=[#8,#16]",1
methanesulfonic_acid,[#6]!@-S(!@-[#8;D1])(=O)=O,2
methylphosphonic_acid,[#6]!@-P([#8;D1])([#8;D1])=O,2
nitrosomethane,"[#6,#7,#8,#16]!@-[#7;D2]=[#8,#16]",1
prop-2-yn-1-ol,[#8;D1]!@-[#6;D2]!@-C!@#C,2
propanedial,"[#8,#16]=[#6]!@-[#6;D2]!@-[#6]=[#8,#16]",2
pyrrolo_34-f_isoindole-1357-tetrone,"[#8,#16]=[#6]1[#7,#8,#16][#6](=[#8,#16])c2[#6,#7;a]c3[#6](=[#8,#16])[#7,#8,#16][#6](=[#8,#16])c3[#6,#7;a]c12",1
thiazol-4-one,"[#8,#16]!@=[#6]1[#6][#16][#6]=,:[#7]1",2
thiazolidine,[#6]-1-[#6]-[#16]-[#6]-[#7]-1,2
thiopyran-2-one,"[#8,#16]=[#6]1[#6]=,:[#6][#6]=,:[#6][#16]1",2
three_OH,[#6]!@-[#8;D1].[#6]!@-[#8;D1].[#6]!@-[#8;D1],2
exo_ethylene,"[#6,#7]!@=[#6,#7]",2
