ID,WMOID,Name,Latitude,Longitude,Elevation,Timezone,Address,City,Region,Country,SurfaceType,TopographyType,RuralUrban,Climate,OperationStatus,TimeResolution,ContactName,Institute,Url,CommissionDate,DecommissionDate,StartDate,EndDate,Comment
#TSESC,,SOLRMAP Tri-State Escalante (RSR),35.41861,-108.08828,2106,UTC-06:00,,Eastern Navajo Agency,New Mexico,United States,,,,BSk,,1M,,,,2010-11-03,2013-12-10,2010-11-03,2013-12-10,
#USEPCC,,SOLRMAP Utah Geological Survey - State Energy Program (Cedar City),37.69601,-113.16483,1675,UTC-06:00,,Cedar City,Utah,United States,,,,BSk,,1M,,,,2010-07-13,2013-09-18,2010-07-13,2013-09-18,
#USEPMF,,SOLRMAP Utah Geological Survey - State Energy Program (Milford),38.41431,-113.02967,1550,UTC-06:00,,,Utah,United States,,,,BSk,,1M,,,,2010-07-14,2013-09-18,2010-07-14,2013-09-18,
#SS2,,SOLRMAP Sun Spot Two - Swink (RSR),38.01221,-103.61696,1255,UTC-06:00,,,Colorado,United States,,,,BSk,,1M,,,,2010-11-10,2015-02-10,2010-11-10,2015-02-10,
#SS1,,Sun Spot One - San Luis Valley (RSR),37.561,-106.0864,2335,UTC-06:00,"3417, East County Road 1 South",,Colorado,United States,,,,BSk,,1M,,,,2008-06-10,2010-11-08,2008-06-10,2010-11-08,
#NPC,,Nevada Power Clark Station,36.08581,-115.05189,523,UTC-07:00,Interstate 515,Whitney,Nevada,United States,,,,BWh,,1M,,,,2006-03-27,2015-03-03,2006-03-27,2015-03-03,
UNLV,,University of Nevada - Las Vegas,36.107,-115.1425,615,UTC-07:00,Gym Road,Paradise,Nevada,United States,,,,BWh,,1M,,,,2006-03-18,,2006-03-18,,
#LRSS,,Lowry Range Solar Station (RSR),39.60701,-104.58017,1860,UTC-06:00,East Quincy Avenue,,Colorado,United States,,,,BSk,,1M,,,,2008-05-30,2014-01-30,2008-05-30,2014-01-30,
#XECS,,Xcel Energy Comanche Station (RSR),38.2098,-104.5724,1490,UTC-06:00,Lime Road,Pueblo,Colorado,United States,,,,BSk,,1M,,,,2007-06-20,2011-06-16,2007-06-20,2011-06-16,
ORNL,,Oak Ridge National Laboratory (RSR),35.92996,-84.30952,245,UTC-04:00,White Oak Avenue,Oak Ridge,Tennessee,United States,,,,Cfa,,1M,,,,2007-09-12,2019-11-20,2007-09-12,2019-11-20,
#USVIBOVB,,US Virgin Islands St. Thomas Bovoni,18.31,-64.88,49,UTC-04:00,Bovoni Road,Anna's Retreat,United States Virgin Islands,United States,,,,,,1M,,,,2012-12-13,2014-08-25,2012-12-13,2014-08-25,
#USVILONA,,US Virgin Islands St. Croix Longford,17.71,-64.69,29,UTC-04:00,Lowry Hill Road,,United States Virgin Islands,United States,,,,,,1M,,,,2012-12-13,2013-12-20,2012-12-13,2013-12-20,
NELHA,,Natural Energy Laboratory of Hawaii Authority (NELHA),19.728144,-156.058936,4,UTC-10:00,Makako Bay Drive,,Hawaii,United States,,,,,,1M,,,,2012-11-01,,2012-11-01,,
#SMUDA,,Sacramento Municipal Utility District (Anatolia),38.54586,-121.24029,51,UTC-07:00,"4381, Anatolia Drive",Rancho Cordova,California,United States,,,,Csa,,1M,,,,2009-02-03,2015-04-23,2009-02-03,2015-04-23,
UTPASRL,,University of Texas Panamerican Solar Radiation Lab,26.3059,-98.1716,34.4,UTC-05:00,"1201, West University Drive",Edinburg,Texas,United States,,,,BSh,,1M,,,,2011-09-01,,2011-09-01,,
HSU,,Humboldt State University (SoRMS),40.876,-124.08,36,UTC-07:00,"1, Harpst Street",Arcata,California,United States,,,,Csb,,1M,,,,2007-05-02,,2007-05-02,,
#EC,,Elizabeth City State University,36.282,-76.216,26,UTC-04:00,UV Way,Elizabeth City,North Carolina,United States,,,,Cfa,,1M,,,,1985-09-25,2014-11-19,1985-09-25,2014-11-19,
#BS,,Bluefield State College,37.265,-81.24,803,UTC-04:00,"219, Rock Street",Bluefield,West Virginia,United States,,,,Dfb,,1M,,,,1985-11-06,2015-04-13,1985-11-06,2015-04-13,
#SPMD,,South Park Mountain Data,39.27278,-105.62472,2944,UTC-06:00,"112, Al Gulch Court",,Colorado,United States,,,,Dfb,,1M,,,,1997-03-28,2021-04-15,1997-03-28,2021-04-15,
#SCI,,San Clemente Island Data,32.9,-118.4833,223,UTC-07:00,,,California,United States,,,,,,1M,,,,2000-01-01,2005-07-17,2000-01-01,2005-07-17,
#LLLJP,,Lamar Low-Level Jet Project,37.66835,-102.66385,1387,UTC-06:00,County Road 5 5/10,,Colorado,United States,,,,BSk,,1M,,,,2001-10-02,2005-05-22,2001-10-02,2005-05-22,
#RCS,,ARM Radiometer Characterization System (RCS),36.606,-97.486,320,UTC-05:00,E0280 Road,,Oklahoma,United States,,,,Cfa,,1M,,,,2003-01-13,2004-06-25,2003-01-13,2004-06-25,
