,Limit_effort,Limit_lower,Limit_upper,Limit_velocity,Axis_x,Axis_y,Axis_z,Origin_x,Origin_y,Origin_z,Origin_r,Origin_p,Origin_ya,BL_x,BL_y,BL_z,F_x,F_y,F_z,kalman_state_idx,Chain,Quaternion,Fixed_joint_idx,kinematic_q_index
L_Eye_end,100,-3.14,3.14,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1
R_Eye,100,0,0,1000,1,0,0,0,0,0.15,0,0,0,Ear2Eye_x,Ear2Eye_y,Ear2Eye_z,1,-1,1,-1,1,0,46,46
R_Eye_end,100,-3.14,3.14,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1
L_Shoulder_Prism,100,-0.25,0.25,1000,0,0,1,0.021,0,0,0,0,0,LeftShoulder,0,0,1,0,0,28,2,0,0,30
L_Shoulder,100,-3.14,3.14,1000,-1,0,0,0,0,0,0,-1.570796327,0,0,0,0,0,0,0,29,2,1,0,31
L_Shoulder_Quat1,100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,1,0,32
L_Shoulder_Quat2,100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,1,0,33
L_Shoulder_Quat3,100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,1,0,59
L_Elbow,100,-3.14,0.01,1000,1,0,0,0,0,-0.263,0,0,0,0,0,LeftArm,0,0,-1,32,2,0,0,34
L_Wrist_P,100,-1.57,1.57,1000,1,0,0,0,0,-0.25,0,0,0,0,0,LeftForeArm,0,0,-1,33,2,0,0,35
L_Wrist_R,100,-1.57,1.57,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,0,36
L_Wrist_Y,100,-0.5,0.5,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,37
L_hand1,100,0,0,1000,0,0,0,0,0.04,-0.08,0,0,0,0,LeftHandWidth,LeftHand,0,0.8,-0.9,-1,2,0,38,38
L_hand2,100,0,0,1000,0,0,0,0,-0.04,-0.08,0,0,0,0,LeftHandWidth,LeftHand,0,-1,-1,-1,2,0,39,39
L_hand1_end,100,-3.14,3.14,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1
L_hand2_end,100,-3.14,3.14,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1
R_Shoulder_Prism,100,-0.25,0.25,1000,0,0,1,-0.021,0,0,0,0,0,LeftShoulder,0,0,-1,0,0,39,3,0,0,47
R_Shoulder,100,-3.14,3.14,1000,-1,0,0,0,0,0,0,1.570796327,0,0,0,0,0,0,0,40,3,1,0,48
R_Shoulder_Quat1,100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,1,0,49
R_Shoulder_Quat2,100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,1,0,50
R_Shoulder_Quat3,100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,1,0,60
R_Elbow,100,-3.14,0.01,1000,1,0,0,0,0,-0.263,0,0,0,0,0,LeftArm,0,0,-1,43,3,0,0,51
R_Wrist_P,100,-1.57,1.57,1000,1,0,0,0,0,-0.25,0,0,0,0,0,LeftForeArm,0,0,-1,44,3,0,0,52
R_Wrist_R,100,-1.57,1.57,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,53
R_Wrist_Y,100,-0.5,0.5,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46,3,0,0,54
R_hand1,100,0,0,1000,0,0,0,0,0.04,-0.08,0,0,0,0,LeftHandWidth,LeftHand,0,0.8,-0.9,-1,3,0,55,55
R_hand2,100,0,0,1000,0,0,0,0,-0.04,-0.08,0,0,0,0,LeftHandWidth,LeftHand,0,-1,-1,-1,3,0,56,56
R_hand1_end,100,-3.14,3.14,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1
R_hand2_end,100,-3.14,3.14,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1
L_Hip,100,-3.14,3.14,1000,0,0,-1,0.09,0,0,0,0,0,HipsLeftHorizontal,0,0,1,0,0,6,4,1,0,6
L_Hip_Quat1,100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,0,7
L_Hip_Quat2,100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,0,8
L_Hip_Quat3,100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4,1,0,57
L_Knee,100,0.01,3.14,1000,1,0,0,0,0,-0.3535,0,0,0,0,0,LeftUpLeg,0,0,-1,9,4,0,0,9
L_Ankle_P,100,-0.35,0.35,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,10
L_Ankle_R,100,-0.35,0.35,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,11
L_Ankle_Y,100,-1.25,1.25,1000,0,0,-1,0,0,-0.3,0,0,0,0,0,LeftLeg,0,0,-1,12,4,0,0,12
L_Foot_Pinky_P,100,-0.3,0.001,1000,1,0,0,0.7,-0.75,-0.15,0,0,0,LeftFoot,LeftFoot,LeftFoot,0.2,-0.65,-0.3,13,4,0,0,13
L_BigToe,100,0,0,1000,0,0,0,-0.55,-0.85,0,0,0,0,LeftFoot,LeftFoot,0,-0.55,-0.25,0,-1,4,0,14,14
L_Toe,100,-3.14,3.14,1000,0,0,0,0,-0.02,0,0,0,0,0,LeftFoot,0,0,-0.2,0,-1,-1,0,0,-1
R_Hip,100,-3.14,3.14,1000,0,0,1,-0.09,0,0,0,0,0,HipsLeftHorizontal,0,0,-1,0,0,14,5,1,0,15
R_Hip_Quat1,100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,1,0,16
R_Hip_Quat2,100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,1,0,17
R_Hip_Quat3,100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,5,1,0,58
R_Knee,100,0.01,3.14,1000,1,0,0,0,0,-0.3535,0,0,0,0,0,LeftUpLeg,0,0,-1,17,5,0,0,18
R_Ankle_P,100,-0.35,0.35,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,19
R_Ankle_R,100,-0.35,0.35,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,20
R_Ankle_Y,100,-1.25,1.25,1000,0,0,1,0,0,-0.3,0,0,0,0,0,LeftLeg,0,0,-1,20,5,0,0,21
R_Foot_Pinky_P,100,-0.3,0.001,1000,1,0,0,-0.55,-0.85,-0.15,0,0,0,LeftFoot,LeftFoot,LeftFoot,-0.2,-0.65,-0.3,21,5,0,0,22
R_BigToe,100,0,0,1000,0,0,0,-0.55,-0.85,0,0,0,0,LeftFoot,LeftFoot,0,0.55,-0.25,0,-1,5,0,23,23
R_Toe,100,-3.14,3.14,1000,0,0,0,0,-0.02,0,0,0,0,0,LeftFoot,0,0,-0.2,0,-1,-1,0,0,-1
