pure holidays since year 2004, excluding weekends and in-lieu days (双休日调休形成的 quasi holidays); weekday: 0 (Sun), 1 (Mon), ... 6 (Sat)
2015-05-01,5,Labour Day,劳动节
2015-06-22,1,Dragon Boat Festival,端午
2015-09-03,4,Anti-Fascist 70th Day,中国人民抗日战争暨世界反法西斯战争胜利70周年纪念日
2015-10-01,4,National Day,国庆节
2015-10-02,5,National Day,国庆节
2015-10-05,1,National Day,国庆节
2015-10-06,2,National Day,国庆节
2016-01-01,5,New Year's Day,元旦
2016-02-08,1,Spring Festival,春节
2016-02-09,2,Spring Festival,春节
2016-02-10,3,Spring Festival,春节
2016-04-04,1,Tomb-sweeping Day,清明
2016-05-02,1,Labour Day,劳动节
2016-06-09,4,Dragon Boat Festival,端午
2016-09-15,4,Mid-autumn Festival,中秋
2016-10-03,1,National Day,国庆节
2016-10-04,2,National Day,国庆节
2016-10-05,3,National Day,国庆节
2017-01-02,1,New Year's Day,元旦
2017-01-27,5,Spring Festival,春节
2017-01-30,1,Spring Festival,春节
2017-01-31,2,Spring Festival,春节
2017-04-04,2,Tomb-sweeping Day,清明
2017-05-01,1,Labour Day,劳动节
2017-05-30,2,Dragon Boat Festival,端午
2017-10-02,1,National Day,国庆节
2017-10-03,2,National Day,国庆节
2017-10-04,3,Mid-autumn Festival,中秋
2017-10-05,4,National Day,国庆节
2018-01-01,1,New Year's Day,元旦
2018-02-15,4,Spring Festival,春节
2018-02-16,5,Spring Festival,春节
2018-04-05,4,Tomb-sweeping Day,清明
2018-05-01,2,Labour Day,劳动节
2018-06-18,1,Dragon Boat Festival,端午
2018-09-24,1,Mid-autumn Festival,中秋
2018-10-01,1,National Day,国庆节
2018-10-02,2,National Day,国庆节
2018-10-03,3,National Day,国庆节
2019-01-01,2,New Year's Day,元旦
2019-02-05,2,Spring Festival,春节
2019-02-06,3,Spring Festival,春节
2019-02-07,4,Spring Festival,春节
2019-04-05,5,Tomb-sweeping Day,清明
2019-05-01,3,Labour Day,劳动节
2019-06-07,5,Dragon Boat Festival,端午
2019-09-13,5,Mid-autumn Festival,中秋
2019-10-01,2,National Day,国庆节
2019-10-02,3,National Day,国庆节
2019-10-03,4,National Day,国庆节
2020-01-01,3,New Year's Day,元旦
2020-01-24,5,Spring Festival,春节
2020-01-27,1,Spring Festival,春节
2020-01-28,2,Spring Festival,春节
2020-01-30,4,Spring Festival,春节
2020-01-31,5,Spring Festival,春节
2020-04-06,1,Tomb-sweeping Day,清明
2020-05-01,5,Labour Day,劳动节
2020-06-25,4,Dragon Boat Festival,端午
2020-10-01,4,National Day,国庆节
2020-10-02,5,National Day,国庆节
2020-10-05,1,National Day,国庆节
2020-10-06,2,National Day,国庆节
2021-01-01,5,New Year's Day,元旦
2021-02-11,4,Spring Festival,春节
2021-02-12,5,Spring Festival,春节
2021-02-15,1,Spring Festival,春节
2021-04-05,1,Tomb-sweeping Day,清明
2021-05-03,1,Labour Day,劳动节
2021-06-14,1,Dragon Boat Festival,端午
2021-09-21,2,Mid-autumn Festival,中秋
2021-10-01,5,National Day,国庆节
2021-10-04,1,National Day,国庆节
2021-10-05,2,National Day,国庆节
2022-01-03,1,New Year's Day,元旦
2022-01-31,1,Spring Festival,春节
2022-02-01,2,Spring Festival,春节
2022-02-02,3,Spring Festival,春节
2022-04-05,2,Tomb-sweeping Day,清明
2022-05-02,1,Labour Day,劳动节
2022-06-03,5,Dragon Boat Festival,端午
2022-09-12,1,Mid-autumn Festival,中秋
2022-10-03,1,National Day,国庆节
2022-10-04,2,National Day,国庆节
2022-10-05,3,National Day,国庆节
2023-01-02,1,New Year's Day,元旦
2023-01-23,1,Spring Festival,春节
2023-01-24,2,Spring Festival,春节
2023-01-25,3,Spring Festival,春节
2023-04-05,3,Tomb-sweeping Day,清明
2023-05-01,1,Labour Day,劳动节
2023-06-22,4,Dragon Boat Festival,端午
2023-09-29,5,Mid-autumn Festival,中秋
2023-10-02,1,National Day,国庆节
2023-10-03,2,National Day,国庆节
2023-10-04,3,National Day,国庆节
2024-01-01,1,New Year's Day,元旦
2024-02-12,1,Spring Festival,春节
2024-02-13,2,Spring Festival,春节
2024-02-14,3,Spring Festival,春节
2024-04-04,4,Tomb-sweeping Day,清明
2024-05-01,3,Labour Day,劳动节
2024-06-10,1,Dragon Boat Festival,端午
2024-09-17,2,Mid-autumn Festival,中秋
2024-10-01,2,National Day,国庆节
2024-10-02,3,National Day,国庆节
2024-10-03,4,National Day,国庆节
2025-01-01,3,New Year's Day,元旦
2025-01-28,2,Spring Festival,春节
2025-01-29,3,Spring Festival,春节
2025-01-30,4,Spring Festival,春节
2025-01-31,5,Spring Festival,春节
2025-04-04,5,Tomb-sweeping Day,清明
2025-05-01,4,Labour Day,劳动节
2025-05-02,5,Labour Day,劳动节
2025-06-02,1,Dragon Boat Festival,端午
2025-10-01,3,National Day,国庆节
2025-10-02,4,National Day,国庆节
2025-10-03,5,National Day,国庆节
2025-10-06,1,Mid-autumn Festival,中秋
2026-01-01,4,New Year's Day,元旦
2026-02-16,1,Spring Festival,春节
2026-02-17,2,Spring Festival,春节
2026-02-18,3,Spring Festival,春节
2026-02-19,4,Spring Festival,春节
2026-04-06,1,Tomb-sweeping Day,清明
2026-05-01,5,Labour Day,劳动节
2026-05-04,1,Labour Day,劳动节
2026-06-19,5,Dragon Boat Festival,端午
2026-09-25,5,Mid-autumn Festival,中秋
2026-10-01,4,National Day,国庆节
2026-10-02,5,National Day,国庆节
2026-10-05,1,National Day,国庆节
