workdays in weekends (双休日调休形成的于双休日工作的工作日) since year 2004; weekday: 0 (Sun), 1 (Mon), ... 6 (Sat)
节假日安排由国务院发布，一般每年11月前后发布，请及时更新数据
date,week_day,enname,cnname
2011-01-30,0,Spring Festival,春节
2011-02-12,6,Spring Festival,春节
2011-04-02,6,Tomb-sweeping Day,清明
2011-10-08,6,National Day,国庆节
2011-10-09,0,National Day,国庆节
2011-12-31,6,New Year's Day,元旦
2012-01-21,6,Spring Festival,春节
2012-01-29,0,Spring Festival,春节
2012-03-31,6,Tomb-sweeping Day,清明
2012-04-01,0,Tomb-sweeping Day,清明
2012-04-28,6,Labour Day,劳动节
2012-09-29,6,National Day,国庆节
2013-01-05,6,New Year's Day,元旦
2013-01-06,0,New Year's Day,元旦
2013-02-16,6,Spring Festival,春节
2013-02-17,0,Spring Festival,春节
2013-04-07,0,Tomb-sweeping Day,清明
2013-04-27,6,Labour Day,劳动节
2013-04-28,0,Labour Day,劳动节
2013-06-08,6,Dragon Boat Festival,端午
2013-06-09,0,Dragon Boat Festival,端午
2013-09-22,0,Mid-autumn Festival,中秋
2013-09-29,0,National Day,国庆节
2013-10-12,6,National Day,国庆节
2014-01-26,0,Spring Festival,春节
2014-02-08,6,Spring Festival,春节
2014-05-04,0,Labour Day,劳动节
2014-09-28,0,National Day,国庆节
2014-10-11,6,National Day,国庆节
2015-01-04,0,New Year's Day,元旦
2015-02-15,0,Spring Festival,春节
2015-02-28,6,Spring Festival,春节
2015-09-06,0,Anti-Fascist 70th Day,中国人民抗日战争暨世界反法西斯战争胜利70周年纪念日
2015-10-10,6,National Day,国庆节
2016-02-06,6,Spring Festival,春节
2016-02-14,0,Spring Festival,春节
2016-06-12,0,Dragon Boat Festival,端午
2016-09-18,0,Mid-autumn Festival,中秋
2016-10-08,6,National Day,国庆节
2016-10-09,0,National Day,国庆节
2017-01-22,0,Spring Festival,春节
2017-02-04,6,Spring Festival,春节
2017-04-01,6,Tomb-sweeping Day,清明
2017-05-27,6,Dragon Boat Festival,端午
2017-09-30,6,National Day,国庆节
2018-02-11,0,Spring Festival,春节
2018-02-24,6,Spring Festival,春节
2018-04-08,0,Tomb-sweeping Day,清明
2018-04-28,6,Labour Day,劳动节
2018-09-29,6,National Day,国庆节
2018-09-30,0,National Day,国庆节
2018-12-29,6,New Year's Day,元旦
2019-02-02,6,Spring Festival,春节
2019-02-03,0,Spring Festival,春节
2019-04-28,0,Labour Day,劳动节
2019-05-05,0,Labour Day,劳动节
2019-09-29,0,National Day,国庆节
2019-10-12,6,National Day,国庆节
2020-01-19,0,Spring Festival,春节
2020-04-26,0,Labour Day,劳动节
2020-05-09,6,Labour Day,劳动节
2020-06-28,0,Dragon Boat Festival,端午
2020-09-27,0,National Day,国庆节
2020-10-10,6,National Day,国庆节
2021-02-07,0,Spring Festival,春节
2021-02-20,6,Spring Festival,春节
2021-04-25,0,Labour Day,劳动节
2021-05-08,6,Labour Day,劳动节
2021-09-18,6,Mid-autumn Festival,中秋
2021-09-26,0,National Day,国庆节
2021-10-09,6,National Day,国庆节
2022-01-29,6,Spring Festival,春节
2022-01-30,0,Spring Festival,春节
2022-04-02,6,Tomb-sweeping Day,清明
2022-04-24,0,Labour Day,劳动节
2022-05-07,6,Labour Day,劳动节
2022-10-08,6,National Day,国庆节
2022-10-09,0,National Day,国庆节
2023-01-28,6,Spring Festival,春节
2023-01-29,0,Spring Festival,春节
2023-04-23,0,Labour Day,劳动节
2023-05-06,6,Labour Day,劳动节
2023-06-25,0,Dragon Boat Festival,端午
2023-10-07,6,National Day,国庆节
2023-10-08,0,National Day,国庆节
2024-02-04,0,Spring Festival,春节
2024-02-18,0,Spring Festival,春节
2024-04-07,0,Tomb-sweeping Day,清明
2024-04-28,0,Labour Day,劳动节
2024-05-11,6,Labour Day,劳动节
2024-09-14,6,Mid-autumn Festival,中秋
2024-09-29,0,National Day,国庆节
2024-10-12,6,National Day,国庆节
2025-01-26,0,Spring Festival,春节
2025-02-08,6,Spring Festival,春节
2025-04-27,0,Labour Day,劳动节
2025-09-28,0,National Day,国庆节
2025-10-11,6,National Day,国庆节
2026-01-04,0,New Year's Day,元旦
2026-02-14,6,Spring Festival,春节
2026-02-28,6,Spring Festival,春节
2026-05-09,6,Labour Day,劳动节
2026-09-20,0,National Day,国庆节
2026-10-10,6,National Day,国庆节
