quasi-holidays (由双休日调休形成、于非双休日的准假日) since year 2004; weekday: 0 (Sun), 1 (Mon), ... 6 (Sat)
节假日安排由国务院发布，一般每年11月前后发布，请及时更新数据
date,week_day,enname,cnname
2012-04-03,2,Tomb-sweeping Day,清明
2012-04-30,1,Labour Day,劳动节
2012-10-05,5,National Day,国庆节
2013-01-02,3,New Year's Day,元旦
2013-01-03,4,New Year's Day,元旦
2013-02-14,4,Spring Festival,春节
2013-02-15,5,Spring Festival,春节
2013-04-05,5,Tomb-sweeping Day,清明
2013-04-29,1,Labour Day,劳动节
2013-04-30,2,Labour Day,劳动节
2013-06-10,1,Dragon Boat Festival,端午
2013-06-11,2,Dragon Boat Festival,端午
2013-09-20,5,Mid-autumn Festival,中秋
2013-10-04,5,National Day,国庆节
2013-10-07,1,National Day,国庆节
2014-02-05,3,Spring Festival,春节
2014-02-06,4,Spring Festival,春节
2014-05-02,5,Labour Day,劳动节
2014-10-06,1,National Day,国庆节
2014-10-07,2,National Day,国庆节
2015-01-02,5,New Year's Day,元旦
2015-02-23,1,Spring Festival,春节
2015-02-24,2,Spring Festival,春节
2015-09-04,5,Anti-Fascist 70th Day,中国人民抗日战争暨世界反法西斯战争胜利70周年纪念日
2015-10-07,3,National Day,国庆节
2016-02-11,4,Spring Festival,春节
2016-02-12,5,Spring Festival,春节
2016-06-10,5,Dragon Boat Festival,端午
2016-09-16,5,Mid-autumn Festival,中秋
2016-10-06,4,National Day,国庆节
2016-10-07,5,National Day,国庆节
2017-02-01,3,Spring Festival,春节
2017-02-02,4,Spring Festival,春节
2017-04-03,1,Tomb-sweeping Day,清明
2017-05-29,1,Dragon Boat Festival,端午
2017-10-06,5,National Day,国庆节
2018-02-19,1,Spring Festival,春节
2018-02-20,2,Spring Festival,春节
2018-02-21,3,Spring Festival,春节
2018-04-06,5,Tomb-sweeping Day,清明
2018-04-30,1,Labour Day,劳动节
2018-10-04,4,National Day,国庆节
2018-10-05,5,National Day,国庆节
2018-12-31,1,New Year's Day,元旦
2019-02-04,1,Spring Festival,春节
2019-02-08,5,Spring Festival,春节
2019-05-02,4,Labour Day,劳动节
2019-05-03,5,Labour Day,劳动节
2019-10-04,5,National Day,国庆节
2019-10-07,1,National Day,国庆节
2020-01-29,3,Spring Festival,春节
2020-05-04,1,Labour Day,劳动节
2020-05-05,2,Labour Day,劳动节
2020-06-26,5,Dragon Boat Festival,端午
2020-10-07,3,National Day,国庆节
2020-10-08,4,National Day,国庆节
2021-02-16,2,Spring Festival,春节
2021-02-17,3,Spring Festival,春节
2021-05-04,2,Labour Day,劳动节
2021-05-05,3,Labour Day,劳动节
2021-09-20,1,Mid-autumn Festival,中秋
2021-10-06,3,National Day,国庆节
2021-10-07,4,National Day,国庆节
2022-02-03,4,Spring Festival,春节
2022-02-04,5,Spring Festival,春节
2022-04-04,1,Tomb-sweeping Day,清明
2022-05-03,2,Labour Day,劳动节
2022-05-04,3,Labour Day,劳动节
2022-10-06,4,National Day,国庆节
2022-10-07,5,National Day,国庆节
2023-01-26,4,Spring Festival,春节
2023-01-27,5,Spring Festival,春节
2023-05-02,2,Labour Day,劳动节
2023-05-03,3,Labour Day,劳动节
2023-06-23,5,Dragon Boat Festival,端午
2023-10-05,4,National Day,国庆节
2023-10-06,5,National Day,国庆节
2024-02-15,4,Spring Festival,春节
2024-02-16,5,Spring Festival,春节
2024-04-05,5,Tomb-sweeping Day,清明
2024-05-02,4,Labour Day,劳动节
2024-05-03,5,Labour Day,劳动节
2024-09-16,1,Mid-autumn Festival,中秋
2024-10-04,5,National Day,国庆节
2024-10-07,1,National Day,国庆节
2025-02-03,1,Spring Festival,春节
2025-02-04,2,Spring Festival,春节
2025-05-05,1,Labour Day,劳动节
2025-10-07,2,National Day,国庆节
2025-10-08,3,National Day,国庆节
2026-01-02,5,New Year's Day,元旦
2026-02-20,5,Spring Festival,春节
2026-02-23,1,Spring Festival,春节
2026-05-05,2,Labour Day,劳动节
2026-10-06,2,National Day,国庆节
2026-10-07,3,National Day,国庆节
