T   v u h s v u h s v u h s
 150   0.9596   2576.9  2768.8  7.2795  0.6339    2570.8  2761.0   7.0778 0.4708   2564.5  2752.8  6.9299
 200   1.0803   2654.4  2870.5  7.5066  0.7163    2650.7  2865.6   7.3115 0.5342   2646.8  2860.5  7.1706
 250   1.1988   2731.2  2971.0  7.7086  0.7964    2728.7  2967.6   7.5166 0.5951   2726.1  2964.2  7.3789
 300   1.3162   2808.6  3071.8  7.8926  0.8753    2806.7  3069.3   7.7022 0.6548   2804.8  3066.8  7.5662
 400   1.5493   2966.7  3276.6  8.2218  1.0315    2965.6  3275.0   8.0330 0.7726   2964.4  3273.4  7.8985
 500   1.7814   3130.8  3487.1  8.5133  1.1867    3130.0  3486.0   8.3251 0.8893   3129.2  3484.9  8.1913
 600   2.013    3301.4  3704.0  8.7770  1.3414    3300.8  3703.2   8.5892 1.0055   3300.2  3702.4  8.4558
 700   2.244    3478.8  3927.6  9.0194  1.4957    3478.1  3927.1   8.8319 1.1215   3477.9  3926.5  8.6987
 800   2.475    3663.1  4158.2  9.2449  1.6499    3662.9  4157.8   9.0576 1.2372   3662.4  4157.3  8.9244
 900   2.706    3854.5  4395.8  9.4566  1.8041    3854.2  4395.4   9.2692 1.3529   3853.9  4395.1  9.1362
1000   2.937    4052.5  4640.0  9.6563  1.9581    4052.3  4639.7   9.4690 1.4685   4052.0  4639.4  9.3360
1100   3.168    4257.0  4890.7  9.8458  2.1121    4256.8  4890.4   9.6585 1.5840   4256.5  4890.2  9.5256
1200   3.399    4467.5  5147.3 10.0262  2.2661    4467.2  5147.1   9.8389 1.6996   4467.0  5146.8  9.7060
1300   3.630    4683.2  5409.3 10.1982  2.4201    4683.0  5409.0  10.0110 1.8151   4682.8  5408.8  9.8780
       P = 0.50 MPa (151.86)            P = 0.60 MPa (158.85)             P = 0.80 MPa (170.43)
Sat.   0.3749   2561.2  2748.7  6.8213  0.3157    2567.4  2756.8  6.7600  0.2404    2576.8  2769.1  6.6628
 200   0.4249   2642.9  2855.4  7.0592  0.3520    2638.9  2850.1  6.9665  0.2608    2630.6  2839.3  6.8158
 250   0.4744   2723.5  2960.7  7.2709  0.3938    2720.9  2957.2  7.1816  0.2931    2715.5  2950.0  7.0384
 300   0.5226   2802.9  3064.2  7.4599  0.4344    2801.0  3061.6  7.3724  0.3241    2797.2  3056.5  7.2328
 350   0.5701   2882.6  3167.7  7.6329  0.4742    2881.2  3165.7  7.5464  0.3544    2878.2  3161.7  7.4089
 400   0.6173   2963.2  3271.9  7.7938  0.5137    2962.1  3270.3  7.7079  0.3843    2959.7  3267.1  7.5716
 500   0.7109   3128.4  3483.9  8.0873  0.5920    3127.6  3482.8  8.0021  0.4433    3126.0  3480.6  7.8673
 600   0.8041   3299.6  3701.7  8.3522  0.6697    3299.1  3700.9  8.2674  0.5018    3297.9  3699.4  8.1333
 700   0.8969   3477.5  3925.9  8.5952  0.7472    3477.0  3925.3  8.5107  0.5601    3476.2  3924.2  8.3770
 800   0.9896   3662.1  4156.9  8.8211  0.8245    3661.8  4156.5  8.7367  0.6181    3661.1  4155.6  8.6033
 900   1.0822   3853.6  4394.7  9.0329  0.9017    3853.4  4394.4  8.9486  0.6761    3852.8  4393.7  8.8153
1000   1.1747   4051.8  4639.1  9.2328  0.9788    4051.5  4638.8  9.1485  0.7340    4051.0  4638.2  9.0153
1100   1.2672   4256.3  4889.9  9.4224  1.0559    4256.1  4889.6  9.3381  0.7919    4255.6  4889.1  9.2050
1200   1.3596   4466.8  5146.6  9.6029  1.1330    4466.5  5146.3  9.5185  0.8497    4466.1  5145.9  9.3855
1300   1.4521   4682.5  5408.6  9.7749  1.2101    4682.3  5408.3  9.6906  0.9076    4681.8  5407.9  9.5575
       P = 1.00 MPa (179.91)            P = 1.20 MPa (187.99)             P = 1.40 MPa (195.07)
Sat.   0.19444  2583.6  2778.1  6.5865  0.16333   2588.8  2784.8  6.5233  0.14084   2592.8  2790.0  6.4693
 200   0.2060   2621.9  2827.9  6.6940  0.16930   2612.8  2815.9  6.5898  0.14302   2603.1  2803.3  6.4975
 250   0.2327   2709.9  2942.6  6.9247  0.19234   2704.2  2935.0  6.8294  0.16350   2698.3  2927.2  6.7467
 300   0.2579   2793.2  3051.2  7.1229  0.2138    2789.2  3045.8  7.0317  0.18228   2785.2  3040.4  6.9534
 350   0.2825   2875.2  3157.7  7.3011  0.2345    2872.2  3153.6  7.2121  0.2003    2869.2  3149.5  7.1360
 400   0.3066   2957.3  3263.9  7.4651  0.2548    2954.9  3260.7  7.3774  0.2178    2952.5  3257.5  7.3026
 500   0.3541   3124.4  3478.5  7.7622  0.2946    3122.8  3476.3  7.6759  0.2521    3121.1  3474.1  7.6027
 600   0.4011   3296.8  3697.9  8.0290  0.3339    3295.6  3696.3  7.9435  0.2860    3294.4  3694.8  7.8710
 700   0.4478   3475.3  3923.1  8.2731  0.3729    3474.4  3922.0  8.1881  0.3195    3473.6  3920.8  8.1160
 800   0.4943   3660.4  4154.7  8.4996  0.4118    3659.7  4153.8  8.4148  0.3528    3659.0  4153.0  8.3431
 900   0.5407   3852.2  4392.9  8.7118  0.4505    3851.6  4392.2  8.6272  0.3861    3851.1  4391.5  8.5556
1000   0.5871   4050.5  4637.6  8.9119  0.4892    4050.0  4637.0  8.8274  0.4192    4049.5  4636.4  8.7559
1100   0.6335   4255.1  4888.6  9.1017  0.5278    4254.6  4888.0  9.0172  0.4524    4254.1  4887.5  8.9457
1200   0.6798   4465.6  5145.4  9.2822  0.5665    4465.1  5144.9  9.1977  0.4855    4464.7  5144.4  9.1262
1300   0.7261   4681.3  5407.4  9.4543  0.6051    4680.9  5407.0  9.3698  0.5186    4680.4  5406.5  9.2984
       P = 1.60 MPa (201.41)            P = 1.80 MPa (207.15)             P = 2.00 MPa (212.42)
Sat.   0.12380  2596.0  2794.0  6.4218  0.11042   2598.4  2797.1  6.3794  0.09963   2600.3  2799.5  6.3409
 225   0.13287  2644.7  2857.3  6.5518  0.11673   2636.6  2846.7  6.4808  0.10377   2628.3  2835.8  6.4147
 250   0.14184  2692.3  2919.2  6.6732  0.12497   2686.0  2911.0  6.6066  0.11144   2679.6  2902.5  6.5453
 300   0.15862  2781.1  3034.8  6.8844  0.14021   2776.9  3029.2  6.8226  0.12547   2772.6  3023.5  6.7664
 350   0.17456  2866.1  3145.4  7.0694  0.15457   2863.0  3141.2  7.0100  0.13857   2859.8  3137.0  6.9563
 400   0.19005  2950.1  3254.2  7.2374  0.16847   2947.7  3250.9  7.1794  0.15120   2945.2  3247.6  7.1271
 500   0.2203   3119.5  3472.0  7.5390  0.19550   3117.9  3469.8  7.4825  0.17568   3116.2  3467.6  7.4317
 600   0.2500   3293.3  3693.2  7.8080  0.2220    3292.1  3691.7  7.7523  0.19960   3290.9  3690.1  7.7024
 700   0.2794   3472.7  3919.7  8.0535  0.2482    3471.8  3918.5  7.9983  0.2232    3470.9  3917.4  7.9487
 800   0.3086   3658.3  4152.1  8.2808  0.2742    3657.6  4151.2  8.2258  0.2467    3657.0  4150.3  8.1765
 900   0.3377   3850.5  4390.8  8.4935  0.3001    3849.9  4390.1  8.4386  0.2700    3849.3  4389.4  8.3895
1000   0.3668   4049.0  4635.8  8.6938  0.3260    4048.5  4635.2  8.6391  0.2933    4048.0  4634.6  8.5901
1100   0.3958   4253.7  4887.0  8.8837  0.3518    4253.2  4886.4  8.8290  0.3166    4252.7  4885.9  8.7800
1200   0.4248   4464.2  5143.9  9.0643  0.3776    4463.7  5143.4  9.0096  0.3398    4463.3  5142.9  8.9607
1300   0.4538   4679.9  5406.0  9.2364  0.4034    4679.5  5405.6  9.1818  0.3631    4679.0  5405.1  9.1329
       P = 2.50 MPa (223.99)            P = 3.00 MPa (233.90)             P = 3.50 MPa (242.60)
Sat.   0.07998  2603.1  2803.1  6.2575  0.06668   2604.1  2804.2  6.1869  0.05707   2603.7  2803.4  6.1253
 225   0.08027  2605.6  2806.3  6.2639
 250   0.08700  2662.6  2880.1  6.4085  0.07058   2644.0  2855.8  6.2872  0.05872   2623.7  2829.2  6.1749
 300   0.09890  2761.6  3008.8  6.6438  0.08114   2750.1  2993.5  6.5390  0.06842   2738.0  2977.5  6.4461
 350   0.10976  2851.9  3126.3  6.8403  0.09053   2843.7  3115.3  6.7428  0.07678   2835.3  3104.0  6.6579
 400   0.12010  2939.1  3239.3  7.0148  0.09936   2932.8  3230.9  6.9212  0.08453   2926.4  3222.3  6.8405
 450   0.13014  3025.5  3350.8  7.1746  0.10787   3020.4  3344.0  7.0834  0.09196   3015.3  3337.2  7.0052
 500   0.13998  3112.1  3462.1  7.3234  0.11619   3108.0  3456.5  7.2338  0.09918   3103.0  3450.9  7.1572
 600   0.15930  3288.0  3686.3  7.5960  0.13243   3285.0  3682.3  7.5085  0.11324   3282.1  3678.4  7.4339
 700   0.17832  3468.7  3914.5  7.8435  0.14838   3466.5  3911.7  7.7571  0.12699   3464.3  3908.8  7.6837
 800   0.19716  3655.3  4148.2  8.0720  0.16414   3653.5  4145.9  7.9862  0.14056   3651.8  4143.7  7.9134
 900   0.21590  3847.9  4387.6  8.2853  0.17980   3846.5  4385.9  8.1999  0.15402   3845.0  4384.1  8.1276
1000   0.2346   4046.7  4633.1  8.4861  0.19541   4045.4  4631.6  8.4009  0.16743   4044.1  4630.1  8.3288
1100   0.2532   4251.5  4884.6  8.6762  0.21098   4250.3  4883.3  8.5912  0.18080   4249.2  4881.9  8.5192
1200   0.2718   4462.1  5141.7  8.8569  0.22652   4460.9  5140.5  8.7720  0.19415   4459.8  5139.3  8.7000
1300   0.2905   4677.8  5404.0  9.0291  0.24206   4676.6  5402.8  8.9442  0.20749   4675.5  5401.7  8.8723
       P = 4.0 MPa (250.40)             P = 4.5 MPa (257.49)              P = 5.0 MPa (263.99)
Sat.   0.04978  2602.3  2801.4  6.0701  0.04406   2600.1  2798.3  6.0198  0.03944   2597.1  2794.3  5.9734
 275   0.05457  2667.9  2886.2  6.2285  0.04730   2650.3  2863.2  6.1401  0.04141   2631.3  2838.3  6.0544
 300   0.05884  2725.3  2960.7  6.3615  0.05135   2712.0  2943.1  6.2828  0.04532   2698.0  2924.5  6.2084
 350   0.06645  2826.7  3092.5  6.5821  0.05840   2817.8  3080.6  6.5131  0.05194   2808.7  3068.4  6.4493
 400   0.07341  2919.9  3213.6  6.7690  0.06475   2913.3  3204.7  6.7047  0.05781   2906.6  3195.7  6.6459
 450   0.08002  3010.2  3330.3  6.9363  0.07074   3005.0  3323.3  6.8746  0.06330   2999.7  3316.2  6.8186
 500   0.08643  3099.5  3445.3  7.0901  0.07651   3095.3  3439.6  7.0301  0.06857   3091.0  3433.8  6.9759
 600   0.09885  3279.1  3674.4  7.3688  0.08765   3276.0  3670.5  7.3110  0.07869   3273.0  3666.5  7.2589
 700   0.11095  3462.1  3905.9  7.6198  0.09847   3459.9  3903.0  7.5631  0.08849   3457.6  3900.1  7.5122
 800   0.12287  3650.0  4141.5  7.8502  0.10911   3648.3  4139.3  7.7942  0.09811   3646.6  4137.1  7.7440
 900   0.13469  3843.6  4382.3  8.0647  0.11965   3842.2  4380.6  8.0091  0.10762   3840.7  4378.8  7.9593
1000   0.14645  4042.9  4628.7  8.2662  0.13013   4041.6  4627.2  8.2108  0.11707   4040.4  4625.7  8.1612
1100   0.15817  4248.0  4880.6  8.4567  0.14056   4246.8  4879.3  8.4015  0.12648   4245.6  4878.0  8.3520
1200   0.16987  4458.6  5138.1  8.6376  0.15098   4457.5  5136.9  8.5825  0.13587   4456.3  5135.7  8.5331
1300   0.18156  4674.3  5400.5  8.8100  0.16139   4673.1  5399.4  8.7549  0.14526   4672.0  5398.2  8.7055
       P = 6.0 MPa (275.64)             P = 7.0 MPa (285.88)              P = 8.0 MPa (295.06)
Sat.   0.03244  2589.7  2784.3  5.8892  0.02737   2580.5  2772.1  5.8133  0.02352   2569.8  2758.0  5.7432
 300   0.03616  2667.2  2884.2  6.0674  0.02947   2632.2  2838.4  5.9305  0.02426   2590.9  2785.0  5.7906
 350   0.04223  2789.6  3043.0  6.3335  0.03524   2769.4  3016.0  6.2283  0.02995   2747.7  2987.3  6.1301
 400   0.04739  2892.9  3177.2  6.5408  0.03993   2878.6  3158.1  6.4478  0.03432   2863.8  3138.3  6.3634
 450   0.05214  2988.9  3301.8  6.7193  0.04416   2978.0  3287.1  6.6327  0.03817   2966.7  3272.0  6.5551
 500   0.05665  3082.2  3422.2  6.8803  0.04814   3073.4  3410.3  6.7975  0.04175   3064.3  3398.3  6.7240
 550   0.06101  3174.6  3540.6  7.0288  0.05195   3167.2  3530.9  6.9486  0.04516   3159.8  3521.0  6.8778
 600   0.06525  3266.9  3658.4  7.1677  0.05565   3260.7  3650.3  7.0894  0.04845   3254.4  3642.0  7.0206
 700   0.07352  3453.1  3894.2  7.4234  0.06283   3448.5  3888.3  7.3476  0.05481   3443.9  3882.4  7.2812
 800   0.08160  3643.1  4132.7  7.6566  0.06981   3639.5  4128.2  7.5822  0.06097   3636.0  4123.8  7.5173
 900   0.08958  3837.8  4375.3  7.8727  0.07669   3835.0  4371.8  7.7991  0.06702   3832.1  4368.3  7.7351
1000   0.09749  4037.8  4622.7  8.0751  0.08350   4035.3  4619.8  8.0020  0.07301   4032.8  4616.9  7.9384
1100   0.10536  4243.3  4875.4  8.2661  0.09027   4240.9  4872.8  8.1933  0.07896   4238.6  4870.3  8.1300
1200   0.11321  4454.0  5133.3  8.4474  0.09703   4451.7  5130.9  8.3747  0.08489   4449.5  5128.5  8.3115
1300   0.12106  4669.6  5396.0  8.6199  0.10377   4667.3  5393.7  8.5473  0.09080   4665.0  5391.5  8.4842
       P = 9.0 MPa (303.40)             P = 10.0 MPa (311.06)             P = 12.5 MPa (327.89)
Sat.   0.02048  2557.8  2742.1  5.6772  0.018026  2544.4  2724.7  5.6141  0.013495  2505.1  2673.8  5.4624
 325   0.02327  2646.6  2856.0  5.8712  0.019861  2610.4  2809.1  5.7568
 350   0.02580  2724.4  2956.6  6.0361  0.02242   2699.2  2923.4  5.9443  0.016126  2624.6  2826.2  5.7118
 400   0.02993  2848.4  3117.8  6.2854  0.02641   2832.4  3096.5  6.2120  0.02000   2789.3  3039.3  6.0417
 450   0.03350  2955.2  3256.6  6.4844  0.02975   2943.4  3240.9  6.4190  0.02299   2912.5  3199.8  6.2719
 500   0.03677  3055.2  3386.1  6.6576  0.03279   3045.8  3373.7  6.5966  0.02560   3021.7  3341.8  6.4618
 550   0.03987  3152.2  3511.0  6.8142  0.03564   3144.6  3500.9  6.7561  0.02801   3125.0  3475.2  6.6290
 600   0.04285  3248.1  3633.7  6.9589  0.03837   3241.7  3625.3  6.9029  0.03029   3225.4  3604.0  6.7810
 650   0.04574  3343.6  3755.3  7.0943  0.04101   3338.2  3748.2  7.0398  0.03248   3324.4  3730.4  6.9218
 700   0.04857  3439.3  3876.5  7.2221  0.04358   3434.7  3870.5  7.1687  0.03460   3422.9  3855.3  7.0536
 800   0.05409  3632.5  4119.3  7.4596  0.04859   3628.9  4114.8  7.4077  0.03869   3620.0  4103.6  7.2965
 900   0.05950  3829.2  4364.8  7.6783  0.05349   3826.3  4361.2  7.6272  0.04267   3819.1  4352.5  7.5182
1000   0.06485  4030.3  4614.0  7.8821  0.05832   4027.8  4611.0  7.8315  0.04658   4021.6  4603.8  7.7237
1100   0.07016  4236.3  4867.7  8.0740  0.06312   4234.0  4865.1  8.0237  0.05045   4228.2  4858.8  7.9165
1200   0.07544  4447.2  5126.2  8.2556  0.06789   4444.9  5123.8  8.2055  0.05430   4439.3  5118.0  8.0987
1300   0.08072  4662.7  5389.2  8.4284  0.07265   4460.5  5387.0  8.3783  0.05813   4654.8  5381.4  8.2717
       P = 15.0 MPa (342.24)            P = 17.5 MPa (354.75)             P = 20.0 MPa (365.81)
Sat.   0.010337 2455.5  2610.5  5.3098  0.007920  2390.2  2528.8  5.1419  0.005834  2293.0  2409.7  4.9269
 350   0.011470 2520.4  2692.4  5.4421
 400   0.015649 2740.7  2975.5  5.8811  0.012447  2685.0  2902.9  5.7213  0.009942  2619.3  2818.1  5.5540
 450   0.018445 2879.5  3156.2  6.1404  0.015174  2844.2  3109.7  6.0184  0.012695  2806.2  3060.1  5.9017
 500   0.02080  2996.6  3308.6  6.3443  0.017358  2970.3  3274.1  6.2383  0.014768  2942.9  3238.2  6.1401
 550   0.02293  3104.7  3448.6  6.5199  0.019288  3083.9  3421.4  6.4230  0.016555  3062.4  3393.5  6.3348
 600   0.02491  3208.6  3582.3  6.6776  0.02106   3191.5  3560.1  6.5866  0.018178  3174.0  3537.6  6.5048
 650   0.02680  3310.3  3712.3  6.8224  0.02274   3296.0  3693.9  6.7357  0.019693  3281.4  3675.3  6.6582
 700   0.02861  3410.9  3840.1  6.9572  0.02434   3398.7  3824.6  6.8736  0.02113   3386.4  3809.0  6.7993
 800   0.03210  3610.9  4092.4  7.2040  0.02738   3601.8  4081.1  7.1244  0.02385   3592.7  4069.7  7.0544
 900   0.03546  3811.9  4343.8  7.4279  0.03031   3804.7  4335.1  7.3507  0.02645   3797.5  4326.4  7.2830
1000   0.03875  4015.4  4596.6  7.6348  0.03316   4009.3  4589.5  7.5589  0.02897   4003.1  4582.5  7.4925
1100   0.04200  4222.6  4852.6  7.8283  0.03597   4216.9  4846.4  7.7531  0.03145   4211.3  4840.2  7.6874
1200   0.04523  4433.8  5112.3  8.0108  0.03876   4428.3  5106.6  7.9360  0.03391   4422.8  5101.0  7.8707
1300   0.04845  4649.1  5376.0  8.1840  0.04154   4643.5  5370.5  8.1093  0.03636   4638.0  5365.1  8.0442
       P = 25.0 MPa                     P = 30.0 MPa                      P = 35.0 MPa
 375   0.001973 1798.7  1848.0  4.0320  0.001789  1737.8  1791.5  3.9305  0.001700  1702.9  1762.4  3.8722
 400   0.006004 2430.1  2580.2  5.1418  0.002790  2067.4  2151.1  4.4728  0.002100  1914.1  1987.6  4.2126
 425   0.007881 2609.2  2806.3  5.4723  0.005303  2455.1  2614.2  5.1504  0.003428  2253.4  2373.4  4.7747
 450   0.009162 2720.7  2949.7  5.6744  0.006735  2619.3  2821.4  5.4424  0.004961  2498.7  2672.4  5.1962
 500   0.011123 2884.3  3162.4  5.9592  0.008678  2820.7  3081.1  5.7905  0.006927  2751.9  2994.4  5.6282
 550   0.012724 3017.5  3335.6  6.1765  0.010168  2970.3  3275.4  6.0342  0.008345  2921.0  3213.0  5.9026
 600   0.014137 3137.9  3491.4  6.3602  0.011446  3100.5  3443.9  6.2331  0.009527  3062.0  3395.5  6.1179
 650   0.015433 3251.6  3637.4  6.5229  0.012596  3221.0  3598.9  6.4058  0.010575  3189.8  3559.9  6.3010
 700   0.016646 3361.3  3777.5  6.6707  0.013661  3335.8  3745.6  6.5606  0.011533  3309.8  3713.5  6.4631
 800   0.018912 3574.3  4047.1  6.9345  0.015623  3555.5  4024.2  6.8332  0.013278  3536.7  4001.5  6.7450
 900   0.021045 3783.0  4309.1  7.1680  0.017448  3768.5  4291.9  7.0718  0.014883  3754.0  4274.9  6.9886
1000   0.02310  3990.9  4568.5  7.3802  0.019196  3978.8  4554.7  7.2867  0.016410  3966.7  4541.1  7.2064
1100   0.02512  4200.2  4828.2  7.5765  0.020903  4189.2  4816.3  7.4845  0.017895  4178.3  4804.6  7.4057
1200   0.02711  4412.0  5089.9  7.7605  0.022589  4401.3  5079.0  7.6692  0.019360  4390.7  5068.3  7.5910
1300   0.02910  4626.9  5354.4  7.9342  0.024266  4616.0  5344.0  7.8432  0.020815  4605.1  5333.6  7.7653
       P = 40.0 MPa                     P = 50.0 MPa                      P = 60.0 MPa
 375   0.001641 1677.1  1742.8  3.8290  0.001559  1638.6  1716.6  3.7639  0.001503  1609.4  1699.5  3.7141
 400   0.001908 1854.6  1930.9  4.1135  0.001731  1788.1  1874.6  4.0031  0.001634  1745.4  1843.4  3.9318
 425   0.002532 2096.9  2198.1  4.5029  0.002007  1959.7  2060.0  4.2734  0.001817  1892.7  2001.7  4.1626
 450   0.003693 2365.1  2512.8  4.9459  0.002486  2159.6  2284.0  4.5884  0.002085  2053.9  2179.0  4.4121
 500   0.005622 2678.4  2903.3  5.4700  0.003892  2525.5  2720.1  5.1726  0.002956  2390.6  2567.9  4.9321
 550   0.006984 2869.7  3149.1  5.7785  0.005118  2763.6  3019.5  5.5485  0.003956  2658.8  2896.2  5.3441
 600   0.008094 3022.6  3346.4  6.0114  0.006112  2942.0  3247.6  5.8178  0.004834  2861.1  3151.2  5.6452
 650   0.009063 3158.0  3520.6  6.2054  0.006966  3093.5  3441.8  6.0342  0.005595  3028.8  3364.5  5.8829
 700   0.009941 3283.6  3681.2  6.3750  0.007727  3230.5  3616.8  6.2189  0.006272  3177.2  3553.5  6.0824
 800   0.011523 3517.8  3978.7  6.6662  0.009076  3479.8  3933.6  6.5290  0.007459  3441.5  3889.1  6.4109
 900   0.012962 3739.4  4257.9  6.9150  0.010283  3710.3  4224.4  6.7882  0.008508  3681.0  4191.5  6.6805
1000   0.014324 3954.6  4527.6  7.1356  0.011411  3930.5  4501.1  7.0146  0.009480  3906.4  4475.2  6.9127
1100   0.015642 4167.4  4793.1  7.3364  0.012496  4145.7  4770.5  7.2184  0.010409  4124.1  4748.6  7.1195
1200   0.016940 4380.1  5057.7  7.5224  0.013561  4359.1  5037.2  7.4058  0.011317  4338.2  5017.2  7.3083
1300   0.018229 4594.3  5323.5  7.6969  0.014616  4572.8  5303.6  7.5808  0.012215  4551.4  5284.3  7.4837
