T       P       vL       vV        uL     Du     uV      hL     Dh     hV     sL     Ds     sV
195     1.3978  0.001149 0.14105   828.37 1764.4 2592.8  829.98 1960.0 2790.0 2.2835 4.1863 6.4698
200     1.5538  0.001157 0.12736   850.65 1744.7 2595.3  852.45 1940.7 2793.2 2.3309 4.1014 6.4323
205     1.7230  0.001164 0.11521   873.04 1724.5 2597.5  875.04 1921.0 2796.0 2.3780 4.0172 6.3952
210     1.9062  0.001173 0.10441   895.53 1703.9 2599.5  897.76 1900.7 2798.5 2.4248 3.9337 6.3585
215     2.104   0.001181 0.09479   918.14 1682.9 2601.1  920.62 1879.9 2800.5 2.4714 3.8507 6.3221
220     2.318   0.001190 0.08619   940.87 1661.5 2602.4  943.62 1858.5 2802.1 2.5178 3.7683 6.2861
225     2.548   0.001199 0.07849   963.73 1639.6 2603.3  966.78 1836.5 2803.3 2.5639 3.6863 6.2503
230     2.795   0.001209 0.07158   986.74 1617.2 2603.9  990.12 1813.8 2804.0 2.6099 3.6047 6.2146
235     3.060   0.001219 0.06537  1009.89 1594.2 2604.1 1013.62 1790.5 2804.2 2.6558 3.5233 6.1791
240     3.344   0.001229 0.05976  1033.21 1570.8 2604.0 1037.32 1766.5 2803.8 2.7015 3.4422 6.1437
245     3.648   0.001240 0.05471  1056.71 1546.7 2603.4 1061.23 1741.7 2803.0 2.7472 3.3612 6.1083
250     3.973   0.001251 0.05013  1080.39 1522.0 2602.4 1085.36 1716.2 2801.5 2.7927 3.2802 6.0730
255     4.319   0.001263 0.04598  1104.28 1496.7 2600.9 1109.73 1689.8 2799.5 2.8383 3.1992 6.0375
260     4.688   0.001276 0.04221  1128.39 1470.6 2599.0 1134.37 1662.5 2796.9 2.8838 3.1181 6.0019
265     5.081   0.001289 0.03877  1152.74 1443.9 2596.6 1159.28 1634.4 2793.6 2.9294 3.0368 5.9662
270     5.499   0.001302 0.03564  1177.36 1416.3 2593.7 1184.51 1605.2 2789.7 2.9751 2.9551 5.9301
275     5.942   0.001317 0.03279  1202.25 1387.9 2590.2 1210.07 1574.9 2785.0 3.0208 2.8730 5.8938
280     6.412   0.001332 0.03017  1227.46 1358.7 2586.1 1235.99 1543.6 2779.6 3.0668 2.7903 5.8571
285     6.909   0.001348 0.02777  1253.00 1328.4 2581.4 1262.31 1511.0 2773.3 3.1130 2.7070 5.8199
290     7.436   0.001366 0.02557  1278.92 1297.1 2576.0 1289.07 1477.1 2766.2 3.1594 2.6227 5.7821
295     7.993   0.001384 0.02354  1305.2  1264.7 2569.9 1316.3  1441.8 2758.1 3.2062 2.5375 5.7437
300     8.581   0.001404 0.02167  1332.0  1231.0 2563.0 1344.0  1404.9 2749.0 3.2534 2.4511 5.7045
305     9.202   0.001425 0.019948 1359.3  1195.9 2555.2 1372.4  1366.4 2738.7 3.3010 2.3633 5.6643
310     9.856   0.001447 0.018350 1387.1  1159.4 2546.4 1401.3  1326.0 2727.3 3.3493 2.2737 5.6230
315    10.547   0.001472 0.016867 1415.5  1121.1 2536.6 1431.0  1283.5 2714.5 3.3982 2.1821 5.5804
320    11.274   0.001499 0.015488 1444.6  1080.9 2525.5 1461.5  1238.6 2700.1 3.4480 2.0882 5.5362
330    12.845   0.001561 0.012996 1505.3   993.7 2498.9 1525.3  1140.6 2665.9 3.5507 1.8909 5.4417
340    14.586   0.001638 0.010797 1570.3   894.3 2464.6 1594.2  1027.9 2622.0 3.6594 1.6763 5.3357
350    16.513   0.001740 0.008813 1641.9   776.6 2418.4 1670.6   893.4 2563.9 3.7777 1.4335 5.2112
360    18.651   0.001893 0.006945 1725.2   626.3 2351.5 1760.5   720.5 2481.0 3.9147 1.1379 5.0526
370    21.03    0.002213 0.004925 1844.0   384.5 2228.5 1890.5   441.6 2332.1 4.1106 0.6865 4.7971
374.14 22.09    0.003155 0.003155 2029.6     0   2029.6 2099.3    0    2099.3 4.4298   0    4.4298
